12:44:57.164 [main] INFO  java.lang.Class - Starting the cloud simulations

12:44:57.165 [main] INFO  java.lang.Class - Simulating different policies

12:44:57.165 [main] INFO  java.lang.Class - Space Shared scheduling simulation

12:44:57.180 [main] INFO  java.lang.Class - Parsing configurations from SpaceShared.conf
12:44:57.209 [main] INFO  java.lang.Class - Configuration parsing completed from SpaceShared.conf.
12:44:57.209 [main] INFO  java.lang.Class - Datacenter configuration are as:
12:44:57.209 [main] INFO  java.lang.Class - Number of hosts: 1
12:44:57.209 [main] INFO  java.lang.Class - Number of VMs: 2
12:44:57.209 [main] INFO  java.lang.Class - Number of cloudlets: 10
12:44:57.293 [main] INFO  java.lang.Class - Initiating VMs
12:44:57.297 [main] INFO  java.lang.Class - Initiating cloudlets
12:44:57.298 [main] INFO  java.lang.Class - Linking VMs, cloudlets to the broker
12:44:57.298 [main] INFO  CloudSim - 
================== Starting CloudSim Plus 6.4.3 ==================

12:44:57.299 [main] INFO  Datacenter - 0.00: DatacenterSimple1 is starting...
12:44:57.300 [main] INFO  DatacenterBroker - DatacenterBrokerSimple2 is starting...
12:44:57.300 [main] INFO  CloudSim - Entities started.
12:44:57.302 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: List of 1 datacenters(s) received.
12:44:57.302 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 0 in DatacenterSimple1
12:44:57.302 [main] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 1 in DatacenterSimple1
12:44:57.305 [main] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicySimple: Vm 0 has been allocated to Host 0/DC 1
12:44:57.306 [main] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicySimple: Vm 1 has been allocated to Host 0/DC 1
12:44:57.306 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 0 to Vm 0 in Host 0/DC 1.
12:44:57.307 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 1 to Vm 1 in Host 0/DC 1.
12:44:57.307 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 2 to Vm 0 in Host 0/DC 1.
12:44:57.307 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 3 to Vm 1 in Host 0/DC 1.
12:44:57.307 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 4 to Vm 0 in Host 0/DC 1.
12:44:57.307 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 5 to Vm 1 in Host 0/DC 1.
12:44:57.307 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 6 to Vm 0 in Host 0/DC 1.
12:44:57.307 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 7 to Vm 1 in Host 0/DC 1.
12:44:57.308 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 8 to Vm 0 in Host 0/DC 1.
12:44:57.308 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 9 to Vm 1 in Host 0/DC 1.
12:44:57.308 [main] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: All 10 waiting Cloudlets submitted to some VM.
12:44:57.314 [main] INFO  DatacenterBroker - 40.11: DatacenterBrokerSimple2: Cloudlet 0 finished in Vm 0 and returned to broker.
12:44:57.314 [main] INFO  DatacenterBroker - 40.11: DatacenterBrokerSimple2: Cloudlet 1 finished in Vm 1 and returned to broker.
12:44:57.315 [main] INFO  DatacenterBroker - 80.33: DatacenterBrokerSimple2: Cloudlet 2 finished in Vm 0 and returned to broker.
12:44:57.315 [main] INFO  DatacenterBroker - 80.33: DatacenterBrokerSimple2: Cloudlet 3 finished in Vm 1 and returned to broker.
12:44:57.316 [main] INFO  DatacenterBroker - 120.55: DatacenterBrokerSimple2: Cloudlet 4 finished in Vm 0 and returned to broker.
12:44:57.316 [main] INFO  DatacenterBroker - 120.55: DatacenterBrokerSimple2: Cloudlet 5 finished in Vm 1 and returned to broker.
12:44:57.317 [main] INFO  DatacenterBroker - 160.77: DatacenterBrokerSimple2: Cloudlet 6 finished in Vm 0 and returned to broker.
12:44:57.317 [main] INFO  DatacenterBroker - 160.77: DatacenterBrokerSimple2: Cloudlet 7 finished in Vm 1 and returned to broker.
